paper title,authors,year,DOI/arXiv identifier,research question,mathematical objective,assumptions,validity domain,NETLAB implementation file,plugin ID,configuration parameters,UI controls,metrics,verification test,validation evidence,known deviations from the paper,licensing/provenance notes
Learn-As-You-Fly: A Distributed Algorithm for Joint 3D Placement and User Association in Multi-UAVs Networks,H. El Hammouti; M. Benjillali; B. Shihada; M.-S. Alouini,2019,10.1109/TWC.2019.2939315,Distributed 3D placement and user association,Distributed placement/user association for throughput and coverage,Neighborhood-limited updates and communication model applicability,Multi-UAV ground-user service planning,plugins/research/learn_as_you_fly_placement/algorithm.py,learn_as_you_fly_placement,"spacing, altitude, user density",Algorithm Lab generated parameters,"coverage, throughput proxy, convergence, gate margin",tests/unit/test_algorithm_runtime_v9.py,deterministic dry-run and paired-seed comparison,Reference decomposition; not an exact reproduction of the original distributed solver,Paper citation in manifest
Joint Trajectory and Communication Design for Multi-UAV Enabled Wireless Networks,Q. Wu; Y. Zeng; R. Zhang,2018,10.1109/TWC.2017.2789293,"Joint scheduling, association, trajectory and power control",Max-min service objective with joint trajectory/communication decisions,Finite planning horizon and model-specific convex approximations,F1/F2 planning studies,plugins/research/joint_trajectory_communication_optimizer/algorithm.py,joint_trajectory_communication_optimizer,"trajectory, association, power weights",Algorithm Lab generated parameters,"objective, constraints, link margins, runtime",tests/unit/test_algorithm_runtime_v9.py,dry-run and scenario comparison,Deterministic heuristic reference; not the paper's complete SCA implementation,Paper citation in manifest
Energy Minimization for Wireless Communication with Rotary-Wing UAV,Y. Zeng; J. Xu; R. Zhang,2019,10.1109/TWC.2019.2902559,Joint propulsion/communication energy planning,Minimize propulsion and communication energy under service constraints,Rotary-wing coefficients require vehicle calibration,F1/F2 energy-aware planning,plugins/research/rotary_wing_energy_optimizer/algorithm.py,rotary_wing_energy_optimizer,"energy weights, reserve, speed",Algorithm Lab generated parameters,"propulsion energy, energy/bit, endurance",tests/regression_contracts/test_research_models.py,analytical sanity and deterministic dry-run,"Reference planner using NETLAB energy model, not a complete trajectory optimizer",Paper citation in manifest
Graph-Theoretic Connectivity Control of Mobile Robot Networks,M. M. Zavlanos; M. B. Egerstedt; G. J. Pappas,2011,10.1109/JPROC.2011.2157884,Connectivity-preserving motion,Maintain weighted graph connectivity using Laplacian structure,Graph weights depend on active communication model,Low-speed connected swarms,plugins/research/graph_connectivity_controller/algorithm.py,graph_connectivity_controller,"connectivity target, gain",Algorithm Lab and Topology Studio,"algebraic connectivity, bridges, articulation points",tests/regression_contracts/test_topology_metrics.py,graph metric reference tests and dry-run,Uses a documented connectivity surrogate with NETLAB link weights,Paper citation in manifest
Coverage Control for Mobile Sensing Networks,J. Cortes; S. Martinez; T. Karatas; F. Bullo,2004,10.1109/TRA.2004.824698,Distributed coverage optimization,Weighted Voronoi/Lloyd coverage objective,Coverage density and region geometry must be specified,Local service-region coverage,plugins/research/voronoi_coverage_controller/algorithm.py,voronoi_coverage_controller,"coverage gain, demand weights",Algorithm Lab and service-region editor,"coverage error, connectivity, energy",tests/unit/test_algorithm_runtime_v9.py,deterministic dry-run,Adds communication and energy penalties not present in the original formulation,Paper citation in manifest
Flocking for Multi-Agent Dynamic Systems: Algorithms and Theory,R. Olfati-Saber,2006,10.1109/TAC.2005.864190,Distributed flocking and consensus,"Cohesion, separation, velocity consensus and navigation",First-order reference and neighbor graph assumptions,Low-speed swarm formation,plugins/research/distributed_flocking_controller/algorithm.py,distributed_flocking_controller,"cohesion, separation, consensus gains",Algorithm Lab generated parameters,"formation error, fragmentation, connectivity",tests/unit/test_algorithm_runtime_v9.py,dry-run and shield tests,Communication-feasibility weighting and hard shield are NETLAB extensions,Paper citation in manifest
Control Barrier Function Based Quadratic Programs for Safety Critical Systems,A. D. Ames; X. Xu; J. W. Grizzle; P. Tabuada,2017,10.1109/TAC.2016.2638961,Safety filtering of nominal control,Minimally modify control subject to barrier constraints,"Guarantees depend on model, differentiability and solver feasibility",Safety layer for motion proposals,plugins/research/cbf_safety_filter/algorithm.py,cbf_safety_filter,"safety distance, geofence, solver deadline",Algorithm Lab and safety settings,"constraint residuals, rejection/fallback",tests/unit/test_algorithm_runtime_v9.py,negative-output and projection tests,Deterministic projection fallback when a QP backend is unavailable,Paper citation in manifest
Integrating Online Learning and Connectivity Maintenance for Communication-Aware Multi-Robot Coordination,Yang et al.,2024,IROS 2024 / arXiv:2410.05798,Learn communication quality online while preserving connectivity,Uncertainty-aware link-quality surrogate with connectivity constraint,Requires calibrated observations and uncertainty model,F2 measured/Sionna trace experiments,plugins/research/data_driven_connectivity_controller/algorithm.py,data_driven_connectivity_controller,"kernel scale, confidence, learning rate",Algorithm Lab and calibration tools,"prediction error, confidence, connectivity",tests/unit/test_algorithm_runtime_v9.py,deterministic surrogate dry-run,Kernel surrogate reference; full Gaussian-process calibration is optional,Paper citation in manifest
PettingZoo: Gym for Multi-Agent Reinforcement Learning,J. K. Terry et al.,2021,arXiv:2009.14471,Standard multi-agent environment API,Parallel simultaneous-action environment,Training framework remains external; authoritative state remains NETLAB,F0-F2 training/evaluation,netlab/marl.py,pettingzoo_parallel,"reward weights, horizon, domain randomization",Algorithm Lab MARL mode,"reward decomposition, shield acceptance, service metrics",tests/unit/test_algorithm_runtime_v9.py,parallel API reset/step contract,PettingZoo-compatible interface without mandatory library dependency,Farama API provenance
FlyNetSim: An Open Source Synchronized UAV Network Simulator based on ns-3 and ArduPilot,S. Baidya; Z. Shaikh; M. Levorato,2018,10.1145/3242102.3242118,Synchronize flight and network simulation,Publish/subscribe coupling and explicit temporal synchronization,External protocol simulator required,Optional F4 adapter boundary,netlab/interoperability.py,external_adapter_ns3,clock mode and adapter endpoints,Settings / interoperability documentation,"clock drift, adapter latency, RTF",tests/regression_contracts/test_research_models.py,adapter contract only,"Classified as external adapter, not bundled ns-3 runtime",Reference architecture
UavNetSim-v1: A Python-based Simulation Platform for UAV Communication Networks,Zhou et al.,2025,10.1109/ICCC65529.2025.11149314,Accessible modular UAV-network algorithm simulation,"Plugin registries for mobility, energy, MAC and routing",Independent simulator architecture,Benchmark and extensibility reference,docs/research/literature_review.md,validation_reference,not applicable,Documentation,extensibility and dry-run criteria,tests/frontend/test_algorithm_lab_contract.py,workflow contract,"Used as an extensibility benchmark, not embedded",Reference publication
Ns3 meets Sionna: Using Realistic Channels in Network Simulation,A. Zubow; Y. Pilz; S. Rosler; F. Dressler,2024,arXiv:2412.20524,Ray-traced channels in protocol simulation,Channel caching aligned with mobility/coherence time,Requires ns-3 and Sionna integration,Optional F4 adapter,netlab/interoperability.py,external_adapter_ns3_sionna,"cache lifetime, batch size",Research guide,"cache hit, channel age, adapter latency",tests/regression_contracts/test_research_models.py,adapter and cache contract,No bundled ns-3 runtime,External adapter reference
Toward Digital Network Twins: Integrating Sionna RT in ns-3 for 6G Multi-RAT Networks Simulations,Pegurri et al.,2025,arXiv:2501.00372,Digital network twin with ray-traced channels and protocol simulation,Synchronize geometry-aware channel and network layers,External ns-3/Sionna RT stack required,Optional F3/F4 adapter,netlab/interoperability.py,external_adapter_ns3_sionna,scene version and channel cache,Research guide,"synchronization lag, channel age",tests/regression_contracts/test_research_models.py,architecture contract,Classified as external adapter,External adapter reference
AirTwinX: A High-Fidelity Digital Twin for Advanced Air Mobility with Ray Tracing,A. Dey et al.,2025,10.1109/CCNC54725.2025.10975938,Context-aware aerial digital twin using Isaac and ray tracing,Geometry-aware link quality informs control,System-specific implementation and calibration,Architecture/benchmark reference,docs/research/literature_review.md,benchmark_reference,not applicable,Research guide,link prediction and synchronization metrics,tests/regression_contracts/test_isaac_contract.py,Isaac/Sionna synchronization contract,NETLAB adds feasibility-gated packet/runtime semantics,Reference publication
