phenomenon,model,primary_source,fidelity,implementation,validity_domain,verification,validation_status
path_loss,free_space,ITU-R P.525,F1,netlab.research_tools.fspl_db,unobstructed reference link,tests/scientific_validation/test_link_budget_reference.py,analytical reference verified
air_to_ground,probabilistic_los,air-to-ground macro model literature,F2,netlab.research_tools.probabilistic_a2g_path_loss,macro-scale planning rather than deterministic urban paths,tests/regression_contracts/test_research_models.py,implementation verified; scenario calibration required
thermal_noise,kTB,physical thermal-noise relation,F1,netlab.research_tools.thermal_noise_dbm,receiver noise budget,tests/regression_contracts/test_research_models.py,analytical reference verified
capacity,Shannon upper bound,information theory,F1,netlab.research_tools.shannon_capacity_mbps,theoretical bound not achieved throughput,tests/regression_contracts/test_research_models.py,analytical reference verified
ntn_geometry,spherical-earth slant range,3GPP NTN study assumptions,F1,netlab.research_tools.ntn_slant_range_delay,first-order geometry and delay,tests/regression_contracts/test_research_models.py,geometry sanity verified
rotary_wing_energy,parameterized analytical propulsion,rotary-wing UAV energy literature,F1,netlab.research_tools.rotary_wing_power_w,reference rotorcraft with configured parameters,tests/regression_contracts/test_research_models.py,sanity verified; platform calibration required
geometry_aware_propagation,Sionna RT,NVIDIA Sionna RT publication and documentation,F3,Docker/workspace/sionna/realtime_link_server.py,compatible scene geometry/materials and selected RT configuration,tests/integration/test_sionna_service_api.py,adapter contract verified; target GPU validation required
packet_feasibility,failure-aware execution gate,NETLAB formal model,F1-F5,netlab.link and netlab.packet,active route with fresh selected-model metrics,tests/unit/test_link_gate.py; tests/unit/test_packet.py,truth-table and state-machine verified
graph_resilience,connectivity and cut-structure metrics,graph theory,F1-F5,netlab.topology_metrics,finite directed/undirected relay graphs,tests/regression_contracts/test_topology_metrics.py,reference graph cases verified
age_of_information,time since generation of latest delivered update,AoI literature,F1-F5,netlab.metrics,time-sensitive update flows,tests/regression_contracts/test_research_models.py,analytical implementation verified
research_algorithm_contract,typed observation/action API,NETLAB Algorithm API 2.0,F1-F5,netlab.algorithm_contracts,Researcher algorithms using supported schemas and frames,tests/unit/test_algorithm_runtime_v9.py,contract and isolated runtime verified
algorithm_safety,safety and feasibility shield,Control barrier functions plus NETLAB hard constraints,F1-F5,netlab.safety_shield,Local motion proposals with configured geofence/dynamics/link model,tests/unit/test_algorithm_runtime_v9.py,negative-output rejection and deterministic fallback verified
marl_environment,PettingZoo-style parallel API,PettingZoo paper and API,F0-F2,netlab.marl,Discrete synchronized swarm-control steps,tests/unit/test_algorithm_runtime_v9.py,parallel reset/step and reward decomposition verified
algorithm_bridge,typed ROS algorithm integration,ROS 2 Jazzy typed interfaces,F1-F5,Docker/workspace/ros2/src/netlab_swarm_demo/netlab_swarm_demo/algorithm_bridge.py,Live ROS graph with generated netlab_interfaces,tests/docker/test_research_algorithm_ros_contract.py,static/container contract verified; target runtime acceptance required
